ং	ŋ
মুতা	ˈm u . t̪ ä
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
মুরহা	m u ɾ . ɦ a
মুহাজির	m u h a j i r
মূত্র	ˈm u t̪ . t̪ ɾ ɔ̝ˑ
মূত্রনালি	ˈm u t̪ . t̪ ɾ ɔ̝ ˌn ä . l iˑ
মৃত	m ɾ i . t̪ ɔ
মৃত	m ɾ i t̪ o
মৃত	m ɾ i t̪ o
মৃত্যু	m r i t̪ t̪ u
মেকুর	ˈm ɛ . k u ɾ
মেঘ	m e ɡʱ
মেঘ	m ɛ ɡʱ
মেজাজ	m e d ʒ a d ʒ
মেথী	m e tʰ i
মেয়ে	ˈm e . e
মেয়েমানুষ	m ɛ ə . m ɜː . n ʊ ʃ
মেহুর	ˈm e . ɦ u ɾ
মোটা	ˈm o ʈ a
মোতি	m o . t̪ i
মোরগ	m o r ɔ ɡ
মৌচাক	m o u̯ t ʃ a k
মৌল	m o u̯ l
মৌসুম	m o u ʃ u m
মৌসুমি	m o u ʃ u m i
য	d͡ʒ ɔ
য়	j ɔ
য়	e ɔ
যিরূশালেম	d͡ʒ i ɾ u ʃ a l e m
যুবক	d ʒ u b ɔ k
যুবতী	d ʒ u b ɔ t̪ i
র	r ɔ
রইদ	r ɔ i d̪
রউন	r ɔ u n
রওনা	r ɔ o n a
রওয়ানা	r ɔ w a n a
রবীন্দ্রনাথ	ɾ ɔ . b i n . d̪ ɾ ɔ . n ɑ t̪ʰ
রবীন্দ্রনাথ	r o b i n d̪ ɾ o n ä t̪ʰ
রবীন্দ্রনাথ	r o b i n d̪ ɾ o n ä t̪ʰ
রসায়ন	ɹ o ɹ ʃ j n
রসুই	ɾ ɔ . ʃ u i
রসুইঘর	ɾ ɔ . ʃ u i . ɡʱ ɔ ɾ
রসুল	ɾ ɔ . ʃ u l
রাং	ɾ a ŋ
রাই	ɾ a i
রাইত	ɾ a i t̪
রাজি	r a z i
রাজি	r a d ʒ i
রামায়ণ	ɾ ɑ . m ɑ . e̯ ɔ n
রাষ্ট্র	ɾ a ʃ . ʈ ɾ ɔ
রাস্তা	ɾ a s t̪ a
রাহুল	ɾ ɑ . ɦ u l
রিকশা	r i k . ʃ ɑ
রিশকা	r i ʃ . k ɑ
রিষ্ট	ɾ i ʃ ʈ ɔ
রীতি	ɾ i t̪ i
রীতি	ɽ i t̪ i
রোগ	ɾ o ɡ
রোজা	ɾ o z a
রোহিত	ɾ o . ɦ i t̪
ল	l ɔ
লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লড়া	l ɔ ɹ a
লড়া	l ɔ ɽ a
লবডঙ্কা	l ɔ . b ɔ . d ɔ ŋ . k ɑ
লবণ	l ɔ b o n
লাইব্রেরী	l a i b ɾ e ɾ i
লাউ	l a u
লাও	l a o
লাকান	l a . k a n
লাখ	l ɑː kʰ
লাভ	l a bʱ
লালা	ˈl a l a
লাশ	l a ʃ
লাহান	l a . ɦ a n
লিচু	l i . t ʃ u
লুডা	l u . d̺ a
লেবু	ˈl e b u
শ	ʃ ɔ
শ	s ɔ
শউর	ʃ ɔ u ɾ
শউরী	ʃ ɔ u . ɾ i
শক্ত	ʃ ɔ k t̪ ɔ
শঙ্খচূড়	ˈʃ ɔ ŋ kʰ o ˌt ʃ u ɽ
শজারু	ʃ ɔ . d͡ʒ a . r u
শত	ʃ ɔ . t̪ ɔ
শতরকম	ʃ ɔ . t̪ ɔ . ɾ ɔ . k ɔ m
শতাংশ	ʃ ɔ . t̪ ɑ ŋ . ʃ ɔ
শয়তান	ʃ ɔ j t̪ a n
শরাব	s h ô r a b
শল্যচিকিৎসা	ʃ ɔ l . l ɔ . t͡ʃ i . k i t̪ . ʃ ɑ
শল্যচিকিৎসা	s̠ o lː o t͡ʃ i k i t̪ s̠ ä
শল্যচিকিৎসা	s̠ o lː o t͡ʃ i k i t̪ s̠ ä
শহর	ʃ ɔ ɦ ɔ ɾ
শহর	ʃ ɔ ɦ ɔ ɽ
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্তনু	ʃ ɑ n . t̪ ɔ . n u
শান্তিনিকেতন	ʃ ɑ n . t̪ i . n i . k e . t̪ ɔ n
শাবাশ	ʃ a b a ʃ
শামিয়ানা	ʃ a m i j a n a
শামুক	ʃ a m u k
শালগম	ʃ a l ɡ ɔ m
শিকার	ʃ i k a r
শিকারি	ʃ i k a r i
শিক্ষক	ʃ i k . kʰ ɔ k
শিক্ষা	ʃ i kːʰ ɑ
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিখ	ʃ i kʰ
শিথান	ʃ i . t̪ʰ a n
শিবদ্রুম	ʃ i b d r u m
শিরীষ	ʃ i ɾ i ʃ
শিশির	ʃ i . ʃ i ɾ
শুমার	ˈʃ u . m ɑ ɾ
শুরু	ˈʃ u . r u
শুলফা	ʃ u l pʰ a
শেখা	ʃ e kʰ a
শৈবাল	ʃ o i̯ b a l
শৈলুষ	ʃ o i̯ l u ʃ
শোনা	ʃ o n ɑ
শ্মশান	ʃ o ʃ ɐ n
শ্মশ্রু	ʃ w ɔ ʃ ɾ u
শ্মশ্রু	ʃ õ s ʃ ɾ u
শ্যাম্পু	ʃ æ m . p u
শ্রীনিকেতন	ʃ ɾ i . n i . k e . t̪ ɔ n
শ্রীফল	s ɾ i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
শ্লেষ্মা	ʃ l e ʃ . ʃ ɑ̃
ষ	ʃ ɔ
স	ʃ ɔ
স	s ɔ
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংবাদ	ʃ ɔ ŋ b ɑ d̪
সংশয়	ʃ ɔ ŋ . ʃ ɔ e̯
সংস্কৃতি	ʃ ɔ ŋ ʃ . k ɾ i . t̪ i
সঙ্গে	ˈʃ ɔ ŋ ɡ e
সজারু	ʃ ɔ . d͡ʒ a . r u
সত্য	ʃ o tː ɔ
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদাই	ʃ ɔ d̪ a i
সনদ	ʃ ɔ n o d̪
সনদপত্র	ʃ ɔ n o d̪ p ɔ t̪ ɾ o
সপ্তাহ	ʃ ɔ p . t̪ ɑ . ɦ ɔ
সফর	s ɔ f o r
সফর	ʃ ɔ pʰ o r
সবজি	ʃ ɔ b d ʒ i
সবজি	ʃ ɔ b z i
সমক	ʃ ɒ . m ɔ k
সমকামিতা	s ɔ m ɔ k a m i t̪ a
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
সমকামী	ʃ ɔ . m ɔ . k ɑ . m i
সমকে	ʃ ɒ m . k e
সময়কাল	ʃ ɔ m ɔ j k a l
সমাইন্যা	ʃ ɒ . m a i n . n a
সমীরণ	ʃ o m i ɾ ɔ n
সম্পাদক	ʃ ɔ m . p ɑ . d̪ ɔ k
সম্পাদিকা	ʃ ɔ m . p ɑ . d̪ i . k ɑ
সরকার	ʃ ɔ ɾ k a ɾ
সরদ	ʃ ɔ . ɾ ɔ d̪
সলিল	ʃ o l i l
সহকর্মী	ʃ ɔ . ɦ ɔ . k ɔ ɾ . m i
সহযোগিতা	ʃ ɔ . ɦ ɔ . d͡ʒ o . ɡ i . t̪ ɑ
সাঁকো	ʃ ã . k o
সাং	ʃ a ŋ
সাগর	ʃ a ɡ ɔ ɾ
সাদা	ʃ a d̪ a
সাপ	ʃ ɑ p
সাফ	s a pʰ
সাফ	s a f
সাবান	ʃ a b a n
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
সার	ʃ a ɾ
সার্জারি	ʃ ɑ ɾ . d͡ʒ ɑ . ɾ i
সালাম	s a l a m
সালোকসংশ্লেষ	ʃ ɑ . l o k . ʃ ɔ ŋ . ʃ l e ʃ
সালোকসংশ্লেষণ	ʃ ɑ . l o k . ʃ ɔ ŋ . ʃ l e . ʃ ɔ n
সিগারেট	s i ɡ ɑ r e ʈ
সিন্দুক	ʃ i n d̪ u k
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধু	ʃ i n d̪ u
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o ʈ ɔ k
সিন্ধুঘোটক	ʃ i n d̪ u ɡ o ʈ ɔ k
সিলডি	s i . l ɔ . d̺ i
সিলেইট্যা	s i . l e i t̺ . t̺ a
সুইজারল্যান্ড	ʃ u i . d͡ʒ ɑ ɾ . l æ n ɖ̟
সুকুমার	ʃ u . k u . m ɑ ɾ
সুগার	ʃ u . ɡ ɑ ɾ
সুজিত	ʃ u . d͡ʒ i t̪
সুন্দর	ʃ u n d̪ ɔ ɾ
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুরত	s u r ô t
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সে	ˈʃ e
সেঁউতি	ʃ ẽ u . t̪ i
সেঁজার	ʃ ɛ . z a ɾ
সেঁজার	ʃ ɛ̃ . d͡z a ɾ
সেজার	ʃ ɛ . z a ɾ
সেজার	ʃ ɛ . d͡ʑ a ɾ
সেন্সস	ˈʃ e n . ʃ ɔ ʃ
সেন্সস	ˈʃ ɛ n . ʃ ɔ ʃ
সোহম	ʃ o . ɦ ɔ m
সোহম	s̠ o ɦ o m
সোহম	s̠ o ɦ o m
সৌন্দর্য	ʃ o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ z o
সৌন্দর্য	s o u n d̪ ɔ ɹ z o
স্কুটার	ʃ k u . ʈ̟ ɑ ɾ
স্তালিন	ʃ t̪ ɑ . l i n
স্নেহ	ˈs n e ɦ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বপন	ʃ ɔ p o n
স্বপ্ন	ʃ ɔ p n o
স্বাধীনতা	ʃ ɑ . dʱ i . n ɔ . t̪ ɑ
স্বাস্থ্য	ʃ a s tʰ j ɔ
স্রেফ	s ɾ e f
সৎ	ˈs ɔ t̪
হ	h ɔ
হউর	ɦ ɔ u ɾ
হউরী	ɦ ɔ u . ɾ i
হক্কল	ɦ ɒ k . k ɔ l
হগল	ɦ ɒ . ɡ ɔ l
হঙ্গে	ɦ ɒ ŋ . ɡ e
হঠাত্	ɦ ɔ ʈʰ a t̪
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
হন্দর	ɦ ɔ n . d̪ ɔ ɾ
হপন	ɦ ɒ . p ɔ n
হপন	ɦ ɒ . ɸ ɔ n
হমকে	ɦ ɒ m . k e
হমাইন্যা	ɦ ɒ . m a i n . n a
হমান	ɦ ɒ . m a n
হমুক	ɦ ɔ . m u k
হয়রান	ɦ ɔ e̯ ɾ a n
হরা	ɦ ɒ . ɾ a
হরিজন	ɦ ɔ . ɾ i . d͡ʒ ɔ n
হরিদ্বার	ɦ ɔ . ɾ i d̪ . d̪ ɑ ɾ
হরিদ্বার	ɦ o ɾ i d̪ː ɑ ɾ
হরিদ্বার	ɦ o ɾ i d̪ː ɑ ɾ
হরীতকী	h o ɾ i t o k i
হরু	ɦ ɔ . ɾ u
হরুলা	ɦ ɔ . ɾ u . l a
হহুন	ɦ ɔ . ɦ u n
হাঁ	h æ̃ː
হাঁই	ɦ a i
হাঁচোর	ɦ a t͡s o ɾ
হাঁচোর	ɦ a t͡s u ɾ
হাঁচোর	ɦ a s u ɾ
হাঁচোর	ɦ ã s u ɾ
হাঁটা	ˈɦ a ʈ a
হাঁটু	ˈɦ a ʈ u
হাঁটু	ˈɦ ã ʈ u
হাঁতরানো	ɦ a t̪ . ɾ a . n ɔ
হাঁতার	ɦ a t̪ a ɾ
হাইর	ɦ a i ɾ
হাওন	ɦ a o n
হাগা	ˈɦ a ɡ a
হাগু	ˈɦ a ɡ u
হাঙ্গুর	h ɐ ŋ ɡ u r
হাচা	ɦ a . t͡s a
হাচা	ɦ a . s a
হাড়ি	ɦ a . ɾ i
হাত	ɦ a t̪
হাতি	ɦ ɑ t̪ i
হাপ	ɦ a p
হাপ	ɦ a ɸ
হাবশি	ˈɦ ɑ b . ʃ i
হামলা	ɦ a m . l a
হামানদিস্তা	h a m a n d i s t a
হামানো	ɦ a . m a . n ɔ
হামুক	ɦ a . m u k
হাসা	ɦ ɑ ʃ ɑ
হাসানো	ɦ ɑ ʃ ɑ n o
হিংসা	ɦ i ŋ ʃ a
হিগা	ɦ i . ɡ a
হিজড়া	ˈɦ i d ʒ ɽ a
হিজড়া	ˈɦ i d ʒ ɹ a
হিটলার	ɦ i ʈ̟ . l ɑ ɾ
হিডা	ɦ i . d̺ a
হিনান	ɦ i . n a n
হিনি	ɦ i . n i
হিম	ɦ i m
হিমাচল	ɦ i . m ɑ . t͡ʃ ɔ l
হিমাচল	ɦ i m ä t͡ʃ ɔ̜ l
হিমাচল	ɦ i m ä t͡ʃ ɔ̜ l
হিমালয়	ɦ i . m ɑ . l ɔ e̯
হিয়ান	ɦ i a n
হিয়াল	ɦ i a l
হিল	ɦ i l
হিসাব	ɦ i ʃ a b
হিস্সা	ɦ i ʃ ʃ a
হুটকি	ɦ u t̺ . k i
হুদা	h u d ɐ
হুনা	ɦ u . n a
হুনি	ɦ u . n i
হুরইন	ɦ u . ɾ ɔ i n
হুরু	ɦ u . ɾ u
হুরুতা	ɦ u . ɾ u . t̪ a
হে	ɦ e
হেঁজ	ɦ ɛ z
হেঁজা	ɦ ɛ . z a
হেঁজার	ɦ ɛ . z a ɾ
হেই	ɦ e i
হেইতে	ɦ e i . t̪ e
হেউত	ɦ e u t̪
হেতাই	ɦ ɛ . t̪ a i
হেতাইন	ɦ ɛ . t̪ a i n
হেতি	ɦ e . t̪ i
হেতে	ɦ ɛ . t̪ e
হোয়া	ɦ ɔ a
হোয়াদ	ɦ o a d̪
হোল	ɦ o l
হ্যাঁ	h ɛ̃
া	aː
ি	i
ী	iː
ু	u
ূ	uː
ৃ	r iː
ৄ	ɽ iː
ে	e
ে	æ
ৈ	o iː
ো	o
ো	ʊ
ৌ	o uː
ৠ	ɽ iː
ৡ	ɭ iː
ৢ	l iː
ৣ	ɭ iː
ৰ	ɹ ɔ
